Number of pause/resume: 0
Execution time: 60000 ms
Number of results: 0

Number of pause/resume: 1
Execution time: 60000 ms
Number of results: 0

Number of pause/resume: 2
Execution time: 60000 ms
Number of results: 0

Number of pause/resume: 3
Execution time: 60000 ms
Number of results: 0

Number of pause/resume: 4
Execution time: 60000 ms
Number of results: 0

Number of pause/resume: 5
Execution time: 60000 ms
Number of results: 0

Number of pause/resume: 6
Execution time: 60000 ms
Number of results: 1

Number of pause/resume: 7
Execution time: 60000 ms
Number of results: 3

Number of pause/resume: 8
Execution time: 60000 ms
Number of results: 1

Number of pause/resume: 9
Execution time: 60000 ms
Number of results: 0

Number of pause/resume: 10
Execution time: 60000 ms
Number of results: 0

Number of pause/resume: 11
Execution time: 60000 ms
Number of results: 0

Number of pause/resume: 12
Execution time: 60000 ms
Number of results: 2

Number of pause/resume: 13
Execution time: 8141 ms
Number of results: 1

TOTAL number of pause/resume: 13
TOTAL execution time: 788141 ms
TOTAL number of results: 8
